Episode,CollisionType,VehicleName,CollisionObjectName,TimeStamp,Duration
45,static,"Car_3","(OSM id: 470347241)",11.61,0.22
45,static,"Car_2","(OSM id: 598179047)",12.41,0.22
45,static,"Car_3","(OSM id: 598179045)",14.31,0.06
45,static,"Car_0","(OSM id: 452514257)",12.21,0.38
45,static,"Car_2","(OSM id: 470347224)",15.51,0.11
45,static,"Car_3","(OSM id: 598179046)",15.21,0.15
45,static,"Car_3","(OSM id: 470347223)",18.11,0.07
45,static,"Car_2","(OSM id: 598179062)",20.81,0.1
45,static,"Car_3","(OSM id: 598179062)",22.01,0.08
45,static,"Car_2","(OSM id: 598179079)",23.41,0.08
45,static,"Car_2","(OSM id: 598179071)",24.81,0.1
45,static,"Car_3","(OSM id: 598179078)",25.01,0.12
45,static,"Car_2","(OSM id: 598179061)",26.11,0.07
45,static,"Car_3","(OSM id: 598179075)",26.11,0.08
45,static,"Car_2","(OSM id: 598179076)",27.31,0.08
45,static,"Car_1","The Home Depot(OSM id: 258040849)",21.91,0.75
45,static,"Car_3","The Home Depot(OSM id: 258040849)",29.31,0.05
46,static,"Car_0","Whataburger(OSM id: 265100460)",20.11,0.29
46,static,"Car_0","(OSM id: 646110915)",26.91,0.15
47,static,"Car_0","(OSM id: 645787235)",6.21,0.13
47,vehicle,"Car_1","Car_2",11.21,0.0
47,vehicle,"Car_2","Car_1",11.21,0.0
47,static,"Car_1","(OSM id: 645787234)",11.91,0.08
47,static,"Car_0","(OSM id: 645787449)",13.31,0.02
47,static,"Car_1","(OSM id: 645787296)",12.81,0.09
47,static,"Car_1","(OSM id: 645787449)",13.71,0.02
47,static,"Car_0","(OSM id: 645787235)",15.71,0.09
47,static,"Car_0","(OSM id: 645787320)",17.01,0.05
47,static,"Car_0","(OSM id: 645787365)",17.51,0.08
47,static,"Car_0","(OSM id: 645787403)",18.41,0.08
48,vehicle,"Car_2","Car_3",4.71,0.04
48,vehicle,"Car_3","Car_2",4.71,0.04
48,vehicle,"Car_0","Car_1",5.31,0.09
48,vehicle,"Car_1","Car_0",5.31,0.09
48,static,"Car_3","45(OSM id: 308347774)",11.51,0.11
48,static,"Car_1","49(OSM id: 309375457)",11.71,0.16
48,static,"Car_1","50(OSM id: 309375458)",14.61,0.19
48,static,"Car_2","46(OSM id: 308347758)",19.01,0.05
48,static,"Car_1","(OSM id: 470346840)",23.31,0.23
48,static,"Car_2","Modular Lab 2 (ML2)(OSM id: 543947240)",26.71,0.08
48,static,"Car_0","(OSM id: 547127998)",27.31,0.02
48,static,"Car_1","(OSM id: 470346692)",27.81,0.15
49,vehicle,"Car_0","Car_2",5.41,0.08
49,vehicle,"Car_2","Car_0",5.41,0.08
49,static,"Car_0","(OSM id: 470346299)",12.81,0.43
49,static,"Car_0","(OSM id: 470346299)",24.01,0.27
51,static,"Car_0","(OSM id: 646111013)",15.11,0.25
51,static,"Car_0","(OSM id: 646111137)",17.61,0.19
51,static,"Car_0","(OSM id: 646110987)",19.51,0.21
51,static,"Car_0","(OSM id: 646110888)",23.71,0.13
51,static,"Car_0","(OSM id: 646111144)",25.91,0.15
51,vehicle,"Car_1","Car_2",29.41,0.01
51,vehicle,"Car_2","Car_1",29.41,0.01
52,static,"Car_1","Cecil H. Green Hall (GR)(OSM id: 258039242)",21.21,0.33
52,vehicle,"Car_0","Car_1",24.81,0.1
52,vehicle,"Car_1","Car_0",24.81,0.1
54,vehicle,"Car_0","Car_1",5.11,0.11
54,vehicle,"Car_1","Car_0",5.11,0.11
54,static,"Car_1","(OSM id: 598197610)",22.31,0.02
54,static,"Car_0","(OSM id: 640719034)",22.01,0.12
54,static,"Car_0","(OSM id: 640719010)",23.21,0.12
54,static,"Car_0","(OSM id: 640719021)",24.51,0.11
54,static,"Car_0","(OSM id: 640719031)",25.71,0.09
54,static,"Car_1","Edith O'Donnell Arts and Technology Building(OSM id: 243352628)",24.71,0.32
55,static,"Car_0","(OSM id: 470833138)",18.21,0.27
55,static,"Car_0","(OSM id: 470833155)",25.91,0.33
56,vehicle,"Car_0","Car_1",9.91,0.06
56,vehicle,"Car_1","Car_0",9.91,0.06
57,vehicle,"Car_1","Car_2",15.91,0.01
57,vehicle,"Car_2","Car_1",15.91,0.01
57,static,"Car_2","Northside Building 2(OSM id: 598197578)",18.41,0.35
57,static,"Car_1","Northside Building 2(OSM id: 598197578)",20.91,0.11
57,vehicle,"Car_1","Car_2",21.51,0.09
57,vehicle,"Car_2","Car_1",21.51,0.09
57,static,"Car_2","(OSM id: 598197590)",22.71,0.05
57,static,"Car_2","Northside Building 9(OSM id: 598197591)",23.11,0.03
57,static,"Car_1","(OSM id: 598197590)",23.01,0.05
57,static,"Car_1","Northside Building 9(OSM id: 598197591)",23.31,0.07
57,static,"Car_0","Northside Building 9(OSM id: 598197591)",23.81,0.1
57,static,"Car_1","(OSM id: 598197592)",25.51,0.16
